            Unix Timestamp,               UTC_Date_&_Time,                 Hora de Chile,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1660317900,           2022-08-12 15:25:00,           2022-08-12 11:25:00,      3.040000,     14.826000,          6.224046,                    75.312649,      0.912000
                1660318800,           2022-08-12 15:40:00,           2022-08-12 11:40:00,      3.040000,     14.653000,          6.146378,                    74.115291,      0.912000
                1660319700,           2022-08-12 15:55:00,           2022-08-12 11:55:00,      3.040000,     14.696000,          6.059465,                    73.130357,      0.911000
                1660320600,           2022-08-12 16:10:00,           2022-08-12 12:10:00,      3.040000,     14.696000,          6.021915,                    72.677171,      0.911000
                1660321500,           2022-08-12 16:25:00,           2022-08-12 12:25:00,      3.040000,     14.705000,          6.003228,                    72.464728,      0.911000
                1660322400,           2022-08-12 16:40:00,           2022-08-12 12:40:00,      3.040000,     14.722000,          6.018905,                    72.678748,      0.911000
                1660323300,           2022-08-12 16:55:00,           2022-08-12 12:55:00,      3.040000,     14.731000,          6.034504,                    72.880264,      0.911000
                1660324200,           2022-08-12 17:10:00,           2022-08-12 13:10:00,      3.040000,     14.783000,          6.060325,                    73.268446,      0.911000
                1660325100,           2022-08-12 17:25:00,           2022-08-12 13:25:00,      3.040000,     14.791000,          6.097143,                    73.725394,      0.911000
                1660326000,           2022-08-12 17:40:00,           2022-08-12 13:40:00,      3.040000,     14.757000,          6.131910,                    74.095284,      0.911000
                1660326900,           2022-08-12 17:55:00,           2022-08-12 13:55:00,      3.040000,     14.670000,          6.188179,                    74.644815,      0.911000
                1660327800,           2022-08-12 18:10:00,           2022-08-12 14:10:00,      3.040000,     14.688000,          6.220197,                    75.058141,      0.911000
                1660328700,           2022-08-12 18:25:00,           2022-08-12 14:25:00,      3.040000,     14.645000,          6.274448,                    75.647446,      0.911000
                1660329600,           2022-08-12 18:40:00,           2022-08-12 14:40:00,      3.040000,     14.679000,          6.304999,                    76.067696,      0.911000
                1660330500,           2022-08-12 18:55:00,           2022-08-12 14:55:00,      3.040000,     14.653000,          6.357788,                    76.664542,      0.911000
                1660331400,           2022-08-12 19:10:00,           2022-08-12 15:10:00,      3.040000,     14.662000,          6.402776,                    77.220979,      0.911000
