            Unix Timestamp,               UTC_Date_&_Time,                 Hora de Chile,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1655057040,           2022-06-12 18:04:00,           2022-06-12 14:04:00,      3.070000,     14.186000,          7.060065,                    84.335022,      0.915000
                1655057940,           2022-06-12 18:19:00,           2022-06-12 14:19:00,      3.070000,     14.264000,          7.133573,                    85.347659,      0.916000
                1655058840,           2022-06-12 18:34:00,           2022-06-12 14:34:00,      3.070000,     14.334000,          7.186607,                    86.103863,      0.915000
                1655059740,           2022-06-12 18:49:00,           2022-06-12 14:49:00,      3.070000,     14.360000,          7.244840,                    86.847135,      0.916000
                1655060640,           2022-06-12 19:04:00,           2022-06-12 15:04:00,      3.060000,     14.429000,          7.293802,                    87.555841,      0.916000
                1655061540,           2022-06-12 19:19:00,           2022-06-12 15:19:00,      3.070000,     14.455000,          7.326753,                    87.997485,      0.916000
                1655062440,           2022-06-12 19:34:00,           2022-06-12 15:34:00,      3.060000,     14.506000,          7.337974,                    88.222835,      0.916000
                1655063340,           2022-06-12 19:49:00,           2022-06-12 15:49:00,      3.070000,     14.601000,          7.349725,                    88.533151,      0.916000
                1655064240,           2022-06-12 20:04:00,           2022-06-12 16:04:00,      3.070000,     14.696000,          7.354132,                    88.755407,      0.916000
                1655065140,           2022-06-12 20:19:00,           2022-06-12 16:19:00,      3.070000,     14.774000,          7.360782,                    88.974740,      0.916000
                1655066040,           2022-06-12 20:34:00,           2022-06-12 16:34:00,      3.070000,     14.774000,          7.373028,                    89.122768,      0.916000
                1655066940,           2022-06-12 20:49:00,           2022-06-12 16:49:00,      3.070000,     14.714000,          7.400062,                    89.341996,      0.917000
                1655067840,           2022-06-12 21:04:00,           2022-06-12 17:04:00,      3.070000,     14.774000,          7.385274,                    89.270796,      0.916000
                1655068740,           2022-06-12 21:19:00,           2022-06-12 17:19:00,      3.070000,     14.722000,          7.413220,                    89.515219,      0.916000
                1655069640,           2022-06-12 21:34:00,           2022-06-12 17:34:00,      3.070000,     14.783000,          7.414774,                    89.643544,      0.916000
                1655070540,           2022-06-12 21:49:00,           2022-06-12 17:49:00,      3.070000,     14.826000,          7.401413,                    89.559119,      0.916000
                1655071440,           2022-06-12 22:04:00,           2022-06-12 18:04:00,      3.070000,     14.808000,          7.366905,                    89.109432,      0.917000
                1655072340,           2022-06-12 22:19:00,           2022-06-12 18:19:00,      3.070000,     14.860000,          7.299757,                    88.389186,      0.916000
                1655073240,           2022-06-12 22:34:00,           2022-06-12 18:34:00,      3.070000,     14.869000,          7.230458,                    87.565847,      0.916000
                1655074140,           2022-06-12 22:49:00,           2022-06-12 18:49:00,      3.070000,     14.808000,          7.184018,                    86.897251,      0.916000
                1655075040,           2022-06-12 23:04:00,           2022-06-12 19:04:00,      3.070000,     14.748000,          7.145763,                    86.330647,      0.916000
                1655075940,           2022-06-12 23:19:00,           2022-06-12 19:19:00,      3.070000,     14.739000,          7.094227,                    85.692556,      0.916000
                1655076840,           2022-06-12 23:34:00,           2022-06-12 19:34:00,      3.070000,     14.714000,          7.061284,                    85.251877,      0.916000
                1655077740,           2022-06-12 23:49:00,           2022-06-12 19:49:00,      3.070000,     14.714000,          7.018018,                    84.729524,      0.916000
                1655078640,           2022-06-13 00:04:00,           2022-06-12 20:04:00,      3.070000,     14.731000,          6.970048,                    84.179071,      0.915000
                1655079540,           2022-06-13 00:19:00,           2022-06-12 20:19:00,      3.070000,     14.860000,          6.913539,                    83.712666,      0.916000
                1655080440,           2022-06-13 00:34:00,           2022-06-12 20:34:00,      3.070000,     14.800000,          6.895719,                    83.396638,      0.916000
                1655081340,           2022-06-13 00:49:00,           2022-06-12 20:49:00,      3.070000,     14.808000,          6.849270,                    82.848169,      0.916000
                1655082240,           2022-06-13 01:04:00,           2022-06-12 21:04:00,      3.070000,     14.696000,          6.815367,                    82.253179,      0.915000
                1655083140,           2022-06-13 01:19:00,           2022-06-12 21:19:00,      3.070000,     14.748000,          6.762881,                    81.704911,      0.915000
                1655084040,           2022-06-13 01:34:00,           2022-06-12 21:34:00,      3.070000,     14.722000,          6.729940,                    81.264560,      0.916000
                1655084940,           2022-06-13 01:49:00,           2022-06-12 21:49:00,      3.070000,     14.688000,          6.703445,                    80.889430,      0.915000
                1655085840,           2022-06-13 02:04:00,           2022-06-12 22:04:00,      3.070000,     14.731000,          6.672078,                    80.580411,      0.916000
                1655086740,           2022-06-13 02:19:00,           2022-06-12 22:19:00,      3.070000,     14.817000,          6.619943,                    80.088675,      0.915000
                1655087640,           2022-06-13 02:34:00,           2022-06-12 22:34:00,      3.070000,     14.834000,          6.598080,                    79.851362,      0.916000
                1655088540,           2022-06-13 02:49:00,           2022-06-12 22:49:00,      3.070000,     14.783000,          6.577122,                    79.516449,      0.915000
                1655089440,           2022-06-13 03:04:00,           2022-06-12 23:04:00,      3.070000,     14.834000,          6.526229,                    78.981801,      0.916000
                1655090340,           2022-06-13 03:19:00,           2022-06-12 23:19:00,      3.070000,     14.714000,          6.512708,                    78.628841,      0.915000
                1655091240,           2022-06-13 03:34:00,           2022-06-12 23:34:00,      3.070000,     14.757000,          6.466630,                    78.139894,      0.915000
                1655092140,           2022-06-13 03:49:00,           2022-06-12 23:49:00,      3.070000,     14.739000,          6.442766,                    77.823435,      0.915000
                1655093040,           2022-06-13 04:04:00,           2022-06-13 00:04:00,      3.070000,     14.696000,          6.421090,                    77.494731,      0.915000
                1655093940,           2022-06-13 04:19:00,           2022-06-13 00:19:00,      3.070000,     14.808000,          6.375724,                    77.120199,      0.915000
                1655094840,           2022-06-13 04:34:00,           2022-06-13 00:34:00,      3.070000,     14.843000,          6.350776,                    76.872281,      0.915000
                1655095740,           2022-06-13 04:49:00,           2022-06-13 00:49:00,      3.070000,     14.791000,          6.342074,                    76.687046,      0.915000
                1655096640,           2022-06-13 05:04:00,           2022-06-13 01:04:00,      3.070000,     14.834000,          6.303326,                    76.284187,      0.915000
